2594,2611,113.10000000000001,70.31,-111.49999999999999,-68.71000000000001,Refrigeration,Refrigerator
2634,2652,122.5,68.82,-113.5,-68.52,Refrigeration,Refrigerator
2675,2692,122.60000000000001,60.71,-112.10000000000001,-67.22,Refrigeration,Refrigerator
2682,2722,48.999999999999986,-17.61,-52.2,17.28,Entertainment,Entertainment 1
2715,2732,111.70000000000003,66.7,-109.2,-63.56,Refrigeration,Refrigerator
2756,2794,98.89999999999999,57.129999999999995,-98.89999999999999,-57.129999999999995,Cooking,Extractor 0
2770,2794,11.5,-80.96000000000001,-11.5,80.96000000000001,Cooking,Extractor 0
2807,2847,142.8,62.03,-112.49999999999999,-65.07,Refrigeration,Refrigerator
2841,2843,15.200000000000003,-6.789999999999992,-16.200000000000003,6.929999999999993,Lighting,Lighting 0
2867,2886,113.39999999999999,65.97,-112.10000000000001,-66.71,Refrigeration,Refrigerator
2907,2925,123.9,64.76,-109.0,-64.89,Refrigeration,Refrigerator
2948,2965,113.1,61.3,-97.69999999999999,-61.43000000000001,Refrigeration,Refrigerator
2988,3004,118.6,61.21,-99.4,-62.129999999999995,Refrigeration,Refrigerator
3027,3044,121.6,58.28,-111.4,-65.63,Refrigeration,Refrigerator
3067,3084,105.60000000000001,58.19,-91.00000000000001,-58.21,Refrigeration,Refrigerator
3106,3123,123.0,65.8,-112.20000000000002,-67.64,Refrigeration,Refrigerator
3146,3163,114.79999999999998,66.97,-112.5,-67.94,Refrigeration,Refrigerator
3186,3203,115.0,55.81,-112.5,-68.21,Refrigeration,Refrigerator
3225,3242,122.4,68.5,-112.69999999999999,-69.15,Refrigeration,Refrigerator
3265,3282,112.29999999999998,70.14,-112.79999999999998,-70.0,Refrigeration,Refrigerator
3305,3321,108.60000000000001,61.67,-94.39999999999999,-62.61,Refrigeration,Refrigerator
3344,3361,113.7,68.15,-111.8,-67.97,Refrigeration,Refrigerator
3381,3392,115.0,-20.310000000000002,-102.20000000000002,16.33,Entertainment,Entertainment 2
3384,3402,111.1,49.72,-111.70000000000002,-65.93,Refrigeration,Refrigerator
3389,3391,34.19999999999996,-5.390000000000001,-47.09999999999994,6.810000000000002,Refrigeration,Refrigerator
3425,3442,111.00000000000001,67.03,-111.00000000000001,-66.08,Refrigeration,Refrigerator
3465,3482,109.6,66.03,-109.5,-64.43,Refrigeration,Refrigerator
3505,3522,122.10000000000002,63.35,-116.69999999999999,-73.09,Refrigeration,Refrigerator
3507,3643,82.69999999999999,-12.04,-82.69999999999999,12.04,Entertainment,Entertainment 2
3545,3563,110.30000000000001,64.03,-116.90000000000003,-66.53,Refrigeration,Refrigerator
3586,3603,106.70000000000002,71.97,-106.30000000000001,-69.36000000000001,Refrigeration,Refrigerator
3626,3643,115.60000000000002,58.55,-115.60000000000002,-58.55,Refrigeration,Refrigerator
3665,3683,120.80000000000001,66.88,-112.4,-67.43,Refrigeration,Refrigerator
3705,3722,125.1,65.4,-109.9,-64.85,Refrigeration,Refrigerator
3745,3762,122.5,66.9,-108.9,-65.23,Refrigeration,Refrigerator
3785,3801,113.2,54.68,-111.8,-66.86,Refrigeration,Refrigerator
3824,3841,125.50000000000001,67.35,-112.39999999999999,-68.75,Refrigeration,Refrigerator
3864,3881,117.3,65.68,-113.89999999999999,-69.59,Refrigeration,Refrigerator
3904,3931,114.0,67.94999999999999,-114.0,-67.94999999999999,Cooking,Extractor 1
3908,3931,12.699999999999989,-83.86,-12.699999999999989,83.86,Cooking,Extractor 2
3943,3983,152.5,64.25,-112.1,-65.25999999999999,Cooking,Extractor 1
4002,4021,126.6,65.89,-112.1,-65.86,Refrigeration,Refrigerator
4043,4060,124.20000000000002,60.849999999999994,-114.30000000000001,-69.27,Refrigeration,Refrigerator
4082,4100,127.7,68.14,-112.39999999999999,-68.34,Refrigeration,Refrigerator
4122,4139,120.6,67.24000000000001,-100.4,-75.48,Refrigeration,Refrigerator
4162,4178,105.9,50.260000000000005,-109.69999999999999,-66.97,Refrigeration,Refrigerator
4201,4218,119.0,66.78,-110.80000000000001,-66.29,Refrigeration,Refrigerator
4241,4257,110.0,52.59,-111.80000000000001,-67.16,Refrigeration,Refrigerator
4280,4296,118.7,65.75,-110.50000000000001,-65.53,Refrigeration,Refrigerator
4320,4336,126.89999999999999,62.989999999999995,-111.10000000000001,-65.83,Refrigeration,Refrigerator
4359,4375,110.00000000000001,65.37,-110.7,-65.02,Refrigeration,Refrigerator
4398,4414,119.3,65.16,-109.39999999999999,-62.91,Refrigeration,Refrigerator
4438,4454,118.39999999999999,55.89,-110.10000000000001,-63.650000000000006,Refrigeration,Refrigerator
4477,4493,114.19999999999999,65.56,-111.4,-66.82,Refrigeration,Refrigerator
4517,4533,103.39999999999999,58.91,-90.10000000000001,-58.839999999999996,Refrigeration,Refrigerator
4556,4572,108.00000000000001,52.8,-112.7,-68.82000000000001,Refrigeration,Refrigerator
4595,4612,120.4,68.65,-112.20000000000002,-67.9,Refrigeration,Refrigerator
4635,4651,119.4,59.73,-112.80000000000001,-69.03,Refrigeration,Refrigerator
4674,4691,117.0,70.33,-111.19999999999999,-66.72999999999999,Refrigeration,Refrigerator
4714,4730,125.7,63.019999999999996,-112.3,-67.53999999999999,Refrigeration,Refrigerator
4753,4770,115.1,67.06,-112.30000000000001,-67.27,Refrigeration,Refrigerator
4793,4809,129.7,64.56,-111.1,-65.92999999999999,Refrigeration,Refrigerator
4872,4928,125.70000000000002,67.88000000000001,-135.59999999999997,-52.71000000000001,Refrigeration,Refrigerator
4893,4910,4273.0,-562.0999999999999,-4147.8,542.1400000000001,Cleaning,Water Heater 0
4922,4925,1189.5,-164.35,-1153.8999999999999,146.49,Cleaning,Vacuum Cleaner 0
4951,4967,109.2,65.05,-111.2,-64.11,Refrigeration,Refrigerator
4991,5007,106.30000000000001,57.67,-94.5,-60.91,Refrigeration,Refrigerator
5030,5047,114.1,68.47,-110.9,-66.61,Refrigeration,Refrigerator
5070,5092,126.5,-15.490000000000002,-125.6,17.97,Entertainment,Entertainment 2
5105,5106,12.5,-9.439999999999998,-12.5,9.439999999999998,Lighting,Lighting 0
5105,5222,124.19999999999999,61.81,-124.19999999999999,-61.81,Cooking,Extractor 1
5140,5148,10.200000000000003,-7.590000000000003,-10.200000000000003,7.590000000000003,Cooking,Extractor 1
5140,5165,18.0,0.75,-18.0,-0.75,Cooking,Extractor 1
5140,5223,46.5,-18.67,-46.5,18.67,Cooking,Extractor 1
5164,5182,124.10000000000001,65.22,-110.1,-64.97999999999999,Refrigeration,Refrigerator
5244,5261,119.1,57.14,-113.0,-68.49,Refrigeration,Refrigerator
5283,5300,114.10000000000001,66.84,-112.2,-67.08,Refrigeration,Refrigerator
5322,5339,119.69999999999999,67.58,-112.79999999999998,-67.27,Refrigeration,Refrigerator
5362,5378,106.1,60.300000000000004,-92.5,-60.800000000000004,Refrigeration,Refrigerator
5401,5417,129.0,65.19,-113.6,-69.13,Refrigeration,Refrigerator
5440,5456,112.29999999999998,68.37,-111.19999999999999,-67.15,Refrigeration,Refrigerator
5479,5495,119.69999999999999,70.48,-110.9,-66.25,Refrigeration,Refrigerator
5518,5535,124.39999999999999,68.53,-112.3,-68.19999999999999,Refrigeration,Refrigerator
5557,5559,11.400000000000006,-8.700000000000003,-11.400000000000006,8.700000000000003,Lighting,Lighting 0
5557,5574,102.60000000000001,68.2,-102.60000000000001,-68.2,Refrigeration,Refrigerator
5557,5594,9.400000000000006,-2.75,-9.400000000000006,2.75,Refrigeration,Refrigerator
5557,5598,16.900000000000006,-43.67999999999999,-16.900000000000006,43.67999999999999,Refrigeration,Refrigerator
5597,5613,77.3,39.47,-98.9,-73.53,Refrigeration,Refrigerator
5636,5652,123.30000000000001,67.83,-111.4,-66.89,Refrigeration,Refrigerator
5676,5692,130.2,64.69,-110.50000000000001,-65.66,Refrigeration,Refrigerator
5715,5731,110.9,65.85,-110.9,-65.36,Refrigeration,Refrigerator
5754,5770,116.60000000000001,65.59,-107.2,-63.39,Refrigeration,Refrigerator
5794,5809,102.8,56.69,-89.60000000000001,-57.01,Refrigeration,Refrigerator
5833,5849,114.80000000000001,54.47,-110.5,-64.18,Refrigeration,Refrigerator
5872,5888,109.79999999999998,63.64,-110.29999999999998,-64.02000000000001,Refrigeration,Refrigerator
5911,5927,117.6,64.78,-109.69999999999999,-63.44,Refrigeration,Refrigerator
5951,5967,118.8,56.93,-111.60000000000001,-66.83,Refrigeration,Refrigerator
5990,6006,112.8,65.73,-111.39999999999999,-67.39,Refrigeration,Refrigerator
6030,6046,105.39999999999999,61.06,-92.8,-61.81,Refrigeration,Refrigerator
6069,6085,110.70000000000002,69.33,-111.4,-67.9,Refrigeration,Refrigerator
6108,6125,121.30000000000001,68.66,-112.5,-68.65,Refrigeration,Refrigerator
6148,6164,111.79999999999998,56.06999999999999,-112.69999999999999,-69.03999999999999,Refrigeration,Refrigerator
6178,6181,2252.7000000000003,-278.51,-2020.3,270.53000000000003,Cooking,Microwave Oven 0
6190,6194,985.3000000000002,304.11,-985.3000000000002,-304.11,Cooking,Microwave Oven 1
6190,6200,1968.5,-266.06,-1968.5,266.06,Cooking,Microwave Oven 0
6241,6246,342.0,63.83,-342.0,-63.83,Cooking,Microwave Oven 0
6243,6246,342.5,106.79,-342.5,-106.79,Cooking,Microwave Oven 0
6266,6308,107.74000000000001,107.74000000000001,-107.74000000000001,-107.74000000000001,Cleaning,Washing Machine
6374,6393,118.20000000000002,64.85,-112.1,-65.37,Refrigeration,Refrigerator
6414,6432,119.1,65.85,-112.5,-66.05,Refrigeration,Refrigerator
6453,6471,120.7,66.43,-113.2,-68.07,Refrigeration,Refrigerator
6492,6509,114.2,67.07,-113.60000000000001,-68.2,Refrigeration,Refrigerator
6531,6547,129.0,63.17,-111.2,-65.22,Refrigeration,Refrigerator
6581,6648,63.20000000000002,-116.06,-63.20000000000002,116.06,Cooking,Extractor 3
6581,6666,113.80000000000001,69.52000000000001,-113.80000000000001,-69.52000000000001,Cooking,Extractor 4
6583,6627,101.49999999999997,-15.559999999999999,-101.49999999999997,15.559999999999999,Entertainment,Entertainment 2
6600,6609,101.1,-15.669999999999995,-77.20000000000002,8.980000000000004,Entertainment,Entertainment 2
6623,6627,40.99999999999997,-10.899999999999999,-40.99999999999997,10.899999999999999,Entertainment,Entertainment 2
6687,6704,119.30000000000001,67.53,-114.9,-70.49000000000001,Refrigeration,Refrigerator
6726,6742,112.79999999999998,67.82,-113.9,-68.38,Refrigeration,Refrigerator
6765,6766,14.299999999999983,-0.9399999999999977,-14.299999999999983,0.9399999999999977,Lighting,Lighting 0
6765,6781,86.39999999999999,57.64,-86.39999999999999,-57.64,Refrigeration,Refrigerator
6803,6819,110.50000000000001,67.51,-111.89999999999999,-66.48,Refrigeration,Refrigerator
6841,6857,122.8,66.39,-112.00000000000001,-66.42,Refrigeration,Refrigerator
6879,6896,120.60000000000001,66.43,-111.10000000000001,-66.09,Refrigeration,Refrigerator
6918,6934,110.9,69.49000000000001,-113.80000000000001,-69.75999999999999,Refrigeration,Refrigerator
6956,6972,121.5,68.81,-112.1,-67.8,Refrigeration,Refrigerator
6995,7011,113.2,54.68000000000001,-111.8,-66.73,Refrigeration,Refrigerator
7034,7050,100.5,57.05,-89.19999999999999,-58.51,Refrigeration,Refrigerator
7072,7090,113.0,66.03,-112.5,-64.14,Refrigeration,Refrigerator
7087,7097,98.80000000000001,-16.60000000000001,-99.5,15.39,Entertainment,Entertainment 2
7112,7128,116.79999999999998,65.07,-113.0,-67.67,Refrigeration,Refrigerator
7150,7166,118.00000000000001,66.52,-112.2,-67.86,Refrigeration,Refrigerator
7189,7205,110.4,67.33,-111.6,-65.98,Refrigeration,Refrigerator
7228,7244,123.1,60.120000000000005,-111.1,-65.48,Refrigeration,Refrigerator
7266,7282,120.50000000000001,65.64,-112.00000000000001,-65.65,Refrigeration,Refrigerator
7305,7345,114.5,64.28999999999999,-119.9,17.45,Entertainment,Entertainment 0
7358,7396,136.7,62.12,-111.50000000000001,-62.85,Refrigeration,Refrigerator
7415,7433,115.6,65.80000000000001,-112.5,-66.67,Refrigeration,Refrigerator
7454,7470,133.5,65.63,-112.79999999999998,-67.79,Refrigeration,Refrigerator
7492,7508,111.99999999999999,68.02,-109.49999999999999,-65.69,Refrigeration,Refrigerator
7530,7546,112.7,69.34,-114.2,-68.99000000000001,Refrigeration,Refrigerator
7568,7584,113.5,67.52,-111.79999999999998,-67.0,Refrigeration,Refrigerator
7606,7622,112.39999999999999,67.71000000000001,-111.60000000000001,-66.09,Refrigeration,Refrigerator
7644,7660,110.10000000000001,66.15,-111.60000000000001,-66.08,Refrigeration,Refrigerator
7682,7698,112.60000000000001,66.6,-111.2,-65.47,Refrigeration,Refrigerator
7720,7736,112.5,65.8,-111.4,-66.06,Refrigeration,Refrigerator
7758,7774,117.00000000000001,64.95,-111.0,-64.98,Refrigeration,Refrigerator
7779,7812,42.499999999999986,-14.849999999999998,-105.80000000000001,-68.08,Cooking,Extractor 1
7796,7812,113.19999999999999,66.63,-105.80000000000001,-68.08,Refrigeration,Refrigerator
7834,7850,115.9,67.03999999999999,-112.80000000000001,-68.17,Refrigeration,Refrigerator
7872,7888,115.69999999999999,67.2,-113.5,-67.62,Refrigeration,Refrigerator
7906,7996,111.90000000000003,-18.77,-111.90000000000003,18.77,Entertainment,Entertainment 2
