Refrigerator,Refrigeration,156.64345238095245,55.603015873015856
Washing Machine,Cleaning,74.99937500000001,47.050312500000004
Lighting 1,Lighting,30.326865671641787,3.375298507462688
Entertainment 1,Entertainment,926.6100000000002,-92.472
Extractor 1,Cooking,77.55999999999999,28.466499999999996
Entertainment 2,Entertainment,302.02027027027026,-36.153513513513516
Entertainment 3,Entertainment,94.48499999999999,-9.442
Entertainment 4,Entertainment,95.99999999999999,-2.3058333333333336
Microwave Oven 1,Cooking,1193.3600000000001,-108.429
Microwave Oven 2,Cooking,985.3000000000002,304.11
Extractor 2,Cooking,72.11666666666666,39.196666666666665
Extractor 3,Cooking,69.04999999999998,33.12050000000001
Extractor 4,Cooking,9.5,-70.19
Extractor 5,Cooking,272.01875,55.806250000000006
Entertainment 5,Entertainment,87.8,-40.11999999999999
Extractor 6,Cooking,112.3,66.2425
